Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
RXFP2	GPR106, GREAT, INSL3R, LGR8, RXFPR2	ENSG00000133105	Relaxin/insulin like family peptide receptor 2	13	31739542-31803388	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins	Evidence at protein level							Not detected	Not detected			endometrium: 0.8	Not detected		
S1PR2	AGR16, DFNB68, EDG5, Gpcr13, H218	ENSG00000267534	Sphingosine-1-phosphate receptor 2	19	10221435-10231272	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA014255, HPA014307	Approved		Uncertain	Nuclear speckles<br>Golgi apparatus	Renal cancer:4.36e-10 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 27.0	lymph node: 13.3	Cell line enhanced		Daudi: 38.8;U-698: 40.3;WM-115: 38.8
SARDH	DMGDHL1, SDH	ENSG00000123453	Sarcosine dehydrogenase	9	133663560-133739955	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA057267, HPA058086	Approved		Approved	Mitochondria	Glioma:3.50e-4 (unfavourable)	Tissue enriched	Tissue enhanced		epididymis: 59.3;liver: 43.0	kidney: 12.5	Group enriched	5	AN3-CA: 16.3;Hep G2: 20.7;LHCN-M2: 9.2;MOLT-4: 18.0;RH-30: 17.5;RPMI-8226: 26.5;SH-SY5Y: 15.4
SARS2	FLJ20450, mtSerRS, SARS, SARSM, SerRSmt, SERS, SYS	ENSG00000104835	Seryl-tRNA synthetase 2, mitochondrial	19	38915266-38930896	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA052730, HPA056957	Approved					Expressed in all	Expressed in all			thyroid gland: 8.9	Expressed in all		
SAT1	SAT, SSAT	ENSG00000130066	Spermidine/spermine N1-acetyltransferase 1	X	23783173-23786226	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB047343, HPA055312, CAB069914	Supported				Endometrial cancer:2.87e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 1269.5	Expressed in all		
SC5D	SC5DL	ENSG00000109929	Sterol-C5-desaturase	11	121292453-121308694	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA066283, HPA070248	Approved		Approved	Nucleoplasm<br>Endoplasmic reticulum<br>Plasma membrane<br>Cytosol	Renal cancer:1.07e-7 (favourable), Head and neck cancer:3.30e-4 (unfavourable), Melanoma:3.98e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 193.5	Expressed in all		
SCN8A	CerIII, MED, NaCh6, Nav1.6, PN4	ENSG00000196876	Sodium voltage-gated channel alpha subunit 8	12	51590266-51812864	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level							Mixed	Tissue enriched	7	cerebral cortex: 22.1	testis: 3.1	Mixed		
SCP2		ENSG00000116171	Sterol carrier protein 2	1	52927229-53051703	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA027101, HPA027135, HPA027317	Supported		Enhanced	Peroxisomes	Renal cancer:7.85e-8 (favourable), Colorectal cancer:7.05e-5 (favourable)	Expressed in all	Expressed in all			liver: 601.5	Expressed in all		
SCYL1	GKLP, HT019, MGC78454, NKTL, NTKL, P105, TAPK, TEIF, TRAP	ENSG00000142186	SCY1 like pseudokinase 1	11	65525077-65538704	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA015015	Uncertain		Supported	Cytosol		Expressed in all	Expressed in all			thyroid gland: 55.2	Expressed in all		
SDHA	FP, SDH2, SDHF	ENSG00000073578	Succinate dehydrogenase complex flavoprotein subunit A	5	218241-256700	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB034929, HPA041981, HPA064582	Enhanced		Enhanced	Mitochondria	Renal cancer:9.53e-8 (favourable), Breast cancer:6.00e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 248.9	Expressed in all		
SDHB	SDH, SDH1	ENSG00000117118	Succinate dehydrogenase complex iron sulfur subunit B	1	17018722-17054170	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA002868, CAB009822, CAB068233, CAB068234, CAB068235	Enhanced		Supported	Nucleoplasm<br>Plasma membrane<br>Mitochondria	Renal cancer:2.93e-7 (favourable)	Expressed in all	Expressed in all			kidney: 215.2	Expressed in all		
SEC31A	ABP125, ABP130, KIAA0905, SEC31L1	ENSG00000138674	SEC31 homolog A, COPII coat complex component	4	82818661-82901166	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA005457	Approved		Supported	Vesicles<br>Cytosol	Urothelial cancer:2.69e-4 (unfavourable), Liver cancer:3.32e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 281.0	Expressed in all		
SEC61A1		ENSG00000058262	Sec61 translocon alpha 1 subunit	3	128051641-128071683	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022076			Supported	Endoplasmic reticulum	Renal cancer:6.84e-9 (unfavourable), Liver cancer:1.07e-6 (unfavourable), Endometrial cancer:7.82e-4 (favourable)	Expressed in all	Expressed in all			cervix, uterine: 218.2	Expressed in all		
SEC63	DNAJC23, ERdj2, PRO2507, SEC63L	ENSG00000025796	SEC63 homolog, protein translocation regulator	6	107867756-107958189	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA053295, HPA060535	Enhanced		Supported	Endoplasmic reticulum	Breast cancer:3.32e-4 (unfavourable), Cervical cancer:4.01e-4 (unfavourable), Renal cancer:6.16e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 87.4	Expressed in all		
SEPSECS	SLA, SLA/LP	ENSG00000109618	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	4	25120014-25160442	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA070409			Approved	Vesicles		Expressed in all	Expressed in all			liver: 16.7	Expressed in all		
SETD2	FLJ23184, HIF-1, HYPB, KIAA1732, KMT3A	ENSG00000181555	SET domain containing 2	3	47016429-47163967	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA042451	Approved		Approved	Nuclear speckles<br>Cytosol	Renal cancer:7.99e-6 (favourable), Melanoma:8.19e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 31.8	Expressed in all		
SFXN4		ENSG00000183605	Sideroflexin 4	10	119140767-119165667	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA018028, HPA020872	Approved		Supported	Vesicles		Expressed in all	Expressed in all			thyroid gland: 47.3	Expressed in all		
SGSH	HSS, MPS3A, SFMD	ENSG00000181523	N-sulfoglucosamine sulfohydrolase	17	80206716-80220923	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA023436, HPA023451	Enhanced				Renal cancer:2.66e-4 (unfavourable), Lung cancer:2.72e-4 (favourable), Pancreatic cancer:3.10e-4 (favourable), Testis cancer:5.37e-4 (unfavourable), Liver cancer:7.71e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 36.3	Mixed		
SHPK	CARKL, SHK	ENSG00000197417	Sedoheptulokinase	17	3608262-3636322	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA024361, HPA064939	Enhanced		Approved	Nucleoplasm<br>Nuclear speckles		Expressed in all	Mixed			duodenum: 13.4	Expressed in all		
SIAE	CSE-C, LSE, MGC87009, YSG2	ENSG00000110013	Sialic acid acetylesterase	11	124633113-124695707	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA038052, HPA038053	Approved				Renal cancer:4.42e-11 (favourable), Endometrial cancer:4.66e-5 (favourable)	Expressed in all	Expressed in all			rectum: 114.5	Mixed		
SIK1	msk, SNF1LK	ENSG00000142178	Salt inducible kinase 1	21	43414515-43427128	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	CAB023801, HPA038211	Approved		Supported	Cytosol		Mixed	Mixed			seminal vesicle: 13.9	Cell line enhanced		HaCaT: 18.5;HBEC3-KT: 22.7;HeLa: 32.3;hTCEpi: 25.9;SiHa: 16.7;U-266/84: 20.5
SLC10A2	ASBT, ISBT	ENSG00000125255	Solute carrier family 10 member 2	13	103043998-103066846	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA004795	Approved				Renal cancer:5.78e-5 (favourable)	Tissue enriched	Group enriched	31	duodenum: 21.0;kidney: 15.4;small intestine: 51.4	gallbladder: 0.9	Not detected		
SLC11A2	DCT1, DMT1, NRAMP2	ENSG00000110911	Solute carrier family 11 member 2	12	50979401-51028566	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA032139, HPA032140	Uncertain		Supported	Mitochondria	Lung cancer:3.07e-6 (favourable)	Expressed in all	Expressed in all			thyroid gland: 75.1	Expressed in all		
SLC12A6	ACCPN, KCC3	ENSG00000140199	Solute carrier family 12 member 6	15	34229996-34338060	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA034563	Uncertain		Approved	Vesicles<br>Cytosol	Renal cancer:3.33e-6 (favourable)	Expressed in all	Mixed			testis: 46.4	Cell line enhanced		HaCaT: 38.6
SLC12A8	CCC9	ENSG00000221955	Solute carrier family 12 member 8	3	125082636-125212864	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA031123	Uncertain		Supported	Nucleoplasm	Renal cancer:5.56e-4 (unfavourable)	Expressed in all	Tissue enhanced		thyroid gland: 39.6	gallbladder: 16.2	Cell line enhanced		HHSteC: 28.8;U-2197: 63.6
SLC16A1	MCT, MCT1	ENSG00000155380	Solute carrier family 16 member 1	1	112911847-112957013	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA003324, CAB017489, HPA071055, CAB079035	Enhanced	Supported	Enhanced	Plasma membrane<br>Cell Junctions	Renal cancer:6.78e-8 (unfavourable), Endometrial cancer:8.37e-6 (unfavourable), Pancreatic cancer:2.10e-4 (unfavourable), Lung cancer:4.05e-4 (unfavourable)	Expressed in all	Mixed			testis: 31.4	Mixed		
SLC16A11	FLJ90193, MCT11	ENSG00000174326	Solute carrier family 16 member 11	17	7041630-7043923	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at transcript level						Renal cancer:3.19e-7 (favourable), Pancreatic cancer:1.45e-5 (favourable), Liver cancer:2.56e-4 (favourable)	Tissue enhanced	Tissue enhanced		fallopian tube: 8.9;parathyroid gland: 11.0	seminal vesicle: 3.8	Not detected		
SLC16A13	MCT13	ENSG00000174327	Solute carrier family 16 member 13	17	7036075-7040121	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA065245			Supported	Golgi apparatus	Pancreatic cancer:1.50e-4 (favourable)	Expressed in all	Mixed			liver: 15.4	Cell line enhanced		A549: 21.3
SLC16A2	AHDS, DXS128, MCT7, MCT8, MRX22, XPCT	ENSG00000147100	Solute carrier family 16 member 2	X	74421461-74533917	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA072719			Approved	Plasma membrane	Breast cancer:8.88e-5 (unfavourable), Renal cancer:1.83e-4 (unfavourable), Urothelial cancer:3.16e-4 (unfavourable)	Expressed in all	Mixed			adrenal gland: 24.0	Cell line enhanced		BJ: 73.2
SLC17A8	DFNA25, VGLUT3	ENSG00000179520	Solute carrier family 17 member 8	12	100357079-100422059	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB079058		Supported				Tissue enhanced	Tissue enhanced		small intestine: 5.8	cerebral cortex: 1.2	Not detected		
SLC17A9	C20orf59, FLJ23412, VNUT	ENSG00000101194	Solute carrier family 17 member 9	20	62952647-62969585	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA047470, HPA056499	Uncertain		Approved	Nucleoplasm	Renal cancer:2.78e-15 (unfavourable)	Mixed	Mixed			stomach: 8.6	Cell line enhanced		Hep G2: 46.7;U-937: 33.7
SLC18A3	VACHT	ENSG00000187714	Solute carrier family 18 member A3	10	49610301-49612720	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB037102, CAB079011	Uncertain	Supported				Mixed	Not detected			placenta: 0.6	Group enriched	6	SCLC-21H: 2.0;SH-SY5Y: 7.6
SLC19A2	THTR1, TRMA	ENSG00000117479	Solute carrier family 19 member 2	1	169463909-169486003	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA006119, HPA016599	Uncertain		Approved	Cytosol	Renal cancer:2.70e-5 (favourable), Glioma:2.11e-4 (favourable), Breast cancer:8.41e-4 (favourable)	Expressed in all	Expressed in all			gallbladder: 49.2	Mixed		
SLC19A3	THTR2	ENSG00000135917	Solute carrier family 19 member 3	2	227685210-227718012	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038898	Approved		Approved	Nucleoplasm<br>Cytosol		Mixed	Tissue enhanced		adipose tissue: 50.2;placenta: 35.3	duodenum: 12.3	Cell line enhanced		ASC diff: 6.9;BEWO: 6.1;CACO-2: 12.7
SLC1A1	EAAC1, EAAT3	ENSG00000106688	Solute carrier family 1 member 1	9	4490444-4587469	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB015466, HPA020086	Approved				Renal cancer:2.86e-8 (favourable)	Expressed in all	Tissue enhanced		small intestine: 71.2	epididymis: 54.5	Cell line enhanced		HDLM-2: 65.4;RPTEC TERT1: 50.1
SLC1A2	EAAT2, GLT-1	ENSG00000110436	Solute carrier family 1 member 2	11	35251206-35420063	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002574, HPA009172	Enhanced					Tissue enriched	Tissue enriched	30	cerebral cortex: 365.8	liver: 12.2	Cell line enhanced		fHDF/TERT166: 1.5;NTERA-2: 2.4;SCLC-21H: 1.5
SLC1A3	EA6, EAAT1, GLAST	ENSG00000079215	Solute carrier family 1 member 3	5	36606355-36688334	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002573, HPA037467, HPA037468	Enhanced		Approved	Nucleoli<br>Mitochondria		Tissue enriched	Tissue enriched	16	cerebral cortex: 518.2	adipose tissue: 31.9	Cell line enhanced		AF22: 49.5;CACO-2: 68.8;HaCaT: 55.0
SLC1A4	ASCT1, SATT	ENSG00000115902	Solute carrier family 1 member 4	2	64988477-65023865	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA034963, HPA034964	Approved		Supported	Centrosome	Liver cancer:4.23e-5 (unfavourable), Cervical cancer:3.59e-4 (favourable), Renal cancer:4.87e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 79.1	Expressed in all		
SLC20A2	Glvr-2, GLVR2, MLVAR, PiT-2, Ram-1	ENSG00000168575	Solute carrier family 20 member 2	8	42416475-42541926	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA026540	Approved				Renal cancer:1.01e-4 (favourable), Breast cancer:7.67e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 138.4	Expressed in all		
SLC22A18	BWR1A, BWSCR1A, IMPT1, ITM, ORCTL2, SLC22A1L, TSSC5	ENSG00000110628	Solute carrier family 22 member 18	11	2899721-2925246	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA067812, HPA071461	Enhanced					Expressed in all	Tissue enhanced		duodenum: 43.2;small intestine: 31.7	colon: 10.3	Cell line enhanced		CAPAN-2: 28.3;Karpas-707: 21.3
SLC22A5	CDSP, OCTN2, SCD	ENSG00000197375	Solute carrier family 22 member 5	5	132369752-132395614	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA063062			Approved	Mitochondria	Endometrial cancer:2.87e-5 (favourable), Pancreatic cancer:7.36e-4 (favourable), Renal cancer:8.36e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 32.1	Cell line enhanced		SiHa: 40.6
SLC24A1	CSNB1D, HsT17412, KIAA0702, NCKX, NCKX1, RODX	ENSG00000074621	Solute carrier family 24 member 1	15	65611366-65660995	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039370	Supported		Approved	Microtubules	Renal cancer:2.33e-6 (favourable)	Expressed in all	Mixed			fallopian tube: 8.5	Mixed		
SLC24A4	NCKX4	ENSG00000140090	Solute carrier family 24 member 4	14	92322581-92501483	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level							Group enriched	Tissue enhanced		cerebral cortex: 7.1	spleen: 2.7	Cell line enhanced		SCLC-21H: 1.5
SLC24A5	JSX, OCA6	ENSG00000188467	Solute carrier family 24 member 5	15	48120972-48142672	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enriched	Group enriched	21	skin: 9.6;testis: 2.9	breast: 0.3	Cell line enriched	760	SK-MEL-30: 193.4
SLC25A1	CTP, SLC20A3	ENSG00000100075	Solute carrier family 25 member 1	22	19175575-19178830	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level							Expressed in all	Expressed in all			duodenum: 112.7	Expressed in all		
SLC25A12	Aralar	ENSG00000115840	Solute carrier family 25 member 12	2	171784370-171999859	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA035333, HPA035334	Enhanced		Uncertain	Nuclear speckles<br>Cytosol	Renal cancer:2.91e-8 (favourable), Endometrial cancer:7.86e-4 (unfavourable)	Expressed in all	Mixed			skeletal muscle: 55.3	Mixed		
SLC25A13	ARALAR2, CITRIN, CTLN2	ENSG00000004864	Solute carrier family 25 member 13	7	96120220-96322147	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA018997	Approved		Supported	Mitochondria	Renal cancer:9.14e-4 (favourable)	Expressed in all	Expressed in all			liver: 77.3	Mixed		
SLC25A15	D13S327, HHH, ORC1, ORNT1	ENSG00000102743	Solute carrier family 25 member 15	13	40789412-40810111	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042146	Approved				Renal cancer:1.74e-4 (favourable), Liver cancer:2.16e-4 (favourable), Urothelial cancer:5.46e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 49.6	Expressed in all		
SLC25A19	DNC, MCPHA, MUP1, TPC	ENSG00000125454	Solute carrier family 25 member 19	17	75272981-75289510	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level						Liver cancer:1.21e-7 (unfavourable), Endometrial cancer:8.72e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 49.2	Expressed in all		
SLC25A20	CAC, CACT	ENSG00000178537	Solute carrier family 25 member 20	3	48856931-48898993	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA016862, HPA029863	Approved		Supported	Mitochondria<br>Cytosol		Expressed in all	Expressed in all			liver: 70.9	Cell line enhanced		RPMI-8226: 88.8
SLC25A22	EIEE3, FLJ13044, GC1, NET44	ENSG00000177542	Solute carrier family 25 member 22	11	790475-798333	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA014662	Approved		Enhanced	Nucleoplasm<br>Mitochondria		Expressed in all	Tissue enriched	6	cerebral cortex: 89.6	testis: 15.2	Expressed in all		
SLC25A26		ENSG00000144741	Solute carrier family 25 member 26	3	66133610-66388116	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA026887	Enhanced		Supported	Mitochondria	Renal cancer:1.73e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 17.5	Expressed in all		
SLC25A3	PHC	ENSG00000075415	Solute carrier family 25 member 3	12	98593591-98606379	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA045709			Supported	Mitochondria	Renal cancer:8.11e-7 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 595.7	Expressed in all		
SLC25A32	MFTC	ENSG00000164933	Solute carrier family 25 member 32	8	103398635-103415189	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA024763, HPA047402	Uncertain		Supported	Mitochondria	Renal cancer:1.53e-6 (unfavourable), Lung cancer:2.09e-4 (unfavourable), Endometrial cancer:7.23e-4 (unfavourable)	Expressed in all	Expressed in all			gallbladder,lymph node: 21.0	Expressed in all		
SLC25A38	FLJ20551	ENSG00000144659	Solute carrier family 25 member 38	3	39383348-39397351	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041027	Approved				Renal cancer:1.58e-5 (favourable), Urothelial cancer:7.29e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 65.9	Expressed in all		
SLC25A46		ENSG00000164209	Solute carrier family 25 member 46	5	110738136-110765161	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039601, HPA071582	Approved		Supported	Mitochondria	Thyroid cancer:2.52e-4 (unfavourable), Colorectal cancer:8.41e-4 (favourable)	Expressed in all	Expressed in all			testis: 37.6	Expressed in all		
SLC26A1	EDM4, SAT-1	ENSG00000145217	Solute carrier family 26 member 1	4	979073-993440	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041654	Uncertain		Approved	Microtubules	Renal cancer:1.19e-4 (favourable)	Mixed	Mixed			adrenal gland,kidney: 6.0	Mixed		
SLC26A2	DTD, DTDST	ENSG00000155850	Solute carrier family 26 member 2	5	149960737-149993455	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041957, HPA058090	Enhanced		Approved	Vesicles	Renal cancer:3.27e-4 (unfavourable), Liver cancer:4.66e-4 (unfavourable), Endometrial cancer:7.29e-4 (favourable)	Expressed in all	Tissue enhanced		colon: 213.0;rectum: 207.1	parathyroid gland: 82.7	Expressed in all		
SLC26A3	CLD, DRA	ENSG00000091138	Solute carrier family 26 member 3	7	107765467-107803225	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036055	Approved					Tissue enriched	Tissue enhanced		colon: 1075.0;duodenum: 577.9;rectum: 961.7	seminal vesicle: 185.8	Cell line enhanced		RPMI-8226: 1.9
SLC26A4	DFNB4, PDS	ENSG00000091137	Solute carrier family 26 member 4	7	107660635-107717809	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042860	Approved					Tissue enriched	Tissue enriched	28	thyroid gland: 419.0	cerebral cortex: 15.1	Cell line enhanced		LHCN-M2: 3.7;SCLC-21H: 1.9
SLC26A5	DFNB61, PRES	ENSG00000170615	Solute carrier family 26 member 5	7	103352730-103446177	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at transcript level							Mixed	Not detected			breast,parathyroid gland: 0.9	Not detected		
SLC26A8		ENSG00000112053	Solute carrier family 26 member 8	6	35943514-36024868	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038081	Enhanced					Not detected	Tissue enriched	27	testis: 76.1	bone marrow: 2.8	Not detected		
SLC27A4	ACSVL4, FATP4	ENSG00000167114	Solute carrier family 27 member 4	9	128340646-128361470	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007293, CAB009771	Approved		Supported	Vesicles	Renal cancer:2.61e-5 (favourable)	Expressed in all	Expressed in all			duodenum: 72.1	Expressed in all		
SLC29A3	ENT3, FLJ11160	ENSG00000198246	Solute carrier family 29 member 3	10	71319258-71363385	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046085, HPA054976, HPA057905	Approved		Supported	Golgi apparatus<br>Vesicles	Liver cancer:6.07e-6 (unfavourable), Renal cancer:5.53e-5 (unfavourable), Thyroid cancer:1.16e-4 (favourable)	Expressed in all	Mixed			placenta: 18.8	Cell line enhanced		BEWO: 35.2
SLC2A1	CSE, DYT18, DYT9, GLUT, GLUT1, HTLVR	ENSG00000117394	Solute carrier family 2 member 1	1	42925375-42959173	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002759, HPA031345, HPA058494	Enhanced	Supported	Enhanced	Plasma membrane	Renal cancer:4.55e-9 (unfavourable), Liver cancer:3.65e-8 (unfavourable), Pancreatic cancer:4.39e-5 (unfavourable), Lung cancer:1.09e-4 (unfavourable), Urothelial cancer:4.05e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 293.0	skin: 59.3	Expressed in all		
SLC2A10	GLUT10	ENSG00000197496	Solute carrier family 2 member 10	20	46709487-46736347	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041015	Approved		Approved	Nucleoplasm<br>Vesicles		Expressed in all	Mixed			prostate: 49.3	Cell line enhanced		SK-MEL-30: 45.7
SLC2A2	GLUT2	ENSG00000163581	Solute carrier family 2 member 2	3	170996348-171026750	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB010444, HPA028997, HPA028998	Enhanced		Approved	Nucleoplasm	Liver cancer:2.63e-5 (favourable)	Tissue enriched	Tissue enriched	7	liver: 433.0	duodenum: 65.7	Group enriched	61	CACO-2: 6.7;Hep G2: 18.6
SLC2A4	GLUT4	ENSG00000181856	Solute carrier family 2 member 4	17	7281667-7288257	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB016544	Enhanced					Mixed	Tissue enhanced		heart muscle: 32.6;skeletal muscle: 45.0	adipose tissue: 21.8	Cell line enhanced		Hep G2: 3.7
SLC2A9	Glut9, GLUTX, URATv1	ENSG00000109667	Solute carrier family 2 member 9	4	9771153-10054936	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA066229	Enhanced				Renal cancer:1.32e-11 (favourable)	Mixed	Tissue enhanced		kidney: 30.8;seminal vesicle: 27.2	placenta: 11.1	Cell line enhanced		HBEC3-KT: 34.8;Hep G2: 16.1;hTCEpi: 14.4;THP-1: 13.9;U-937: 10.7
